Date,Open,Low,High,Close,Volume,adj. close
15-Jan-16,86.84,86.82,89.35,89.17,3937523,1
19-Jan-16,90.29,88.37,91.4,89.18,3680618,2
20-Jan-16,87.69,84.67,88.76,87.94,3667159,3
21-Jan-16,88.64,87.14,89.93,88,4298802,4
22-Jan-16,89.55,88.48,89.93,89.63,5390252,5
25-Jan-16,88.39,86.63,89.26,86.77,3945006,6
26-Jan-16,87.26,85.47,87.58,86.89,2746345,7
27-Jan-16,87.27,84.51,87.83,84.85,3070623,8
28-Jan-16,85.54,82.7,85.74,84.52,5315646,9
29-Jan-16,85.55,85.12,89.13,89.13,4679475,10
1-Feb-16,88.16,87.9,90.24,89.61,2893124,11
2-Feb-16,88.71,87.64,89.02,87.95,3070904,12
3-Feb-16,88.91,86.67,89.25,87.99,3185809,13
4-Feb-16,87.82,85.78,87.97,86.36,3417381,14
5-Feb-16,85.5,77.83,85.5,79.2,10644177,15
8-Feb-16,77.4,71.27,78.33,74.94,12909967,16
9-Feb-16,74.76,73.04,77.19,73.85,6697354,17
10-Feb-16,74.99,73.9,77.61,75.53,6465276,18
11-Feb-16,74.04,73.58,75.53,74.94,4984695,19
12-Feb-16,75.99,75.4,77.36,76.67,4368740,20
