Date,Open,High,Low,Close,Volume,Adj Close
2016-02-19,80.32,80.940002,79.510002,80.870003,3926600,80.870003
2016-02-18,82.300003,82.82,80.139999,80.529999,3515600,80.529999
2016-02-17,79.400002,82.07,78.540001,81.849998,4444000,81.849998
2016-02-16,77.129997,79.199997,77.129997,78.879997,4692900,78.879997
2016-02-12,75.989998,77.360001,75.400002,76.669998,4354900,76.669998
2016-02-11,74.040001,75.529999,73.580002,74.940002,4965900,74.940002
2016-02-10,74.989998,77.610001,73.900002,75.529999,6461300,75.529999
2016-02-09,74.760002,77.190002,73.040001,73.849998,6650800,73.849998
2016-02-08,77.400002,78.330002,71.269997,74.940002,12905700,74.940002
2016-02-05,85.50,85.50,77.830002,79.199997,10604600,79.199997
2016-02-04,87.82,87.970001,85.779999,86.360001,3407200,86.360001
2016-02-03,88.910004,89.25,86.669998,87.989998,3185700,87.989998
2016-02-02,88.709999,89.019997,87.639999,87.949997,3060800,87.949997
2016-02-01,88.160004,90.239998,87.900002,89.610001,2873900,89.610001
2016-01-29,85.550003,89.129997,85.120003,89.129997,4652500,89.129997
2016-01-28,85.540001,85.739998,82.699997,84.519997,5315500,84.519997
2016-01-27,87.269997,87.830002,84.510002,84.849998,3041900,84.849998
2016-01-26,87.260002,87.580002,85.470001,86.889999,2745700,86.889999
2016-01-25,88.389999,89.260002,86.629997,86.769997,3935600,86.769997
2016-01-22,89.550003,89.93,88.480003,89.629997,5390100,89.629997
2016-01-21,88.639999,89.93,87.139999,88.00,4298700,88.00
2016-01-20,87.690002,88.760002,84.669998,87.940002,3666100,87.940002
2016-01-19,90.290001,91.400002,88.370003,89.18,3673100,89.18
2016-01-15,86.839996,89.349998,86.82,89.169998,3921500,89.169998
2016-01-14,88.919998,90.300003,87.32,89.800003,4052500,89.800003
2016-01-13,90.589996,91.440002,87.989998,88.300003,3368100,88.300003
2016-01-12,89.889999,91.029999,88.410004,89.82,2333600,89.82
2016-01-11,88.07,89.800003,87.839996,89.379997,2356600,89.379997
2016-01-08,89.68,89.989998,87.629997,87.849998,2249200,87.849998
2016-01-07,89.400002,91.400002,88.709999,89.110001,2696400,89.110001
2016-01-06,91.099998,91.50,90.239998,91.019997,1667700,91.019997
2016-01-05,92.010002,92.849998,91.410004,92.339996,1821300,92.339996
2016-01-04,91.769997,92.00,90.540001,91.970001,2966900,91.970001
